urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:procedure,urn:ogc:def:property:x-istsos:1.0:acceleration-x,urn:ogc:def:property:x-istsos:1.0:acceleration-y,urn:ogc:def:property:x-istsos:1.0:acceleration-z,urn:ogc:def:property:x-istsos:1.0:air:temperature
2015-03-26T13:16:01.236125+01:00,Node_383,0.014433,0.002063,-0.931730,26.379154
2015-03-26T13:16:01.243938+01:00,Node_383,0.014433,0.002063,-0.923698,26.379154
2015-03-26T13:16:01.251750+01:00,Node_383,0.014433,0.010311,-0.919682,26.379154
2015-03-26T13:16:01.259562+01:00,Node_383,0.010309,0.002063,-0.919682,26.379154
2015-03-26T13:16:01.267375+01:00,Node_383,-0.002062,0.006187,-0.919682,26.379154
2015-03-26T13:16:01.275188+01:00,Node_383,0.018557,0.006187,-0.923698,26.379154
2015-03-26T13:16:01.283000+01:00,Node_383,0.014433,0.006187,-0.915666,26.379154
2015-03-26T13:16:01.290813+01:00,Node_383,0.006185,0.006187,-0.927714,26.379154
2015-03-26T13:16:01.298625+01:00,Node_383,0.014433,-0.002060,-0.919682,26.379154
2015-03-26T13:16:01.306438+01:00,Node_383,0.022680,0.002063,-0.927714,26.379154
2015-03-26T13:16:01.314250+01:00,Node_383,0.018557,0.014435,-0.923698,26.379154
2015-03-26T13:16:01.322063+01:00,Node_383,0.014433,0.006187,-0.927714,26.379154
2015-03-26T13:16:01.329875+01:00,Node_383,0.010309,0.002063,-0.927714,26.379154
2015-03-26T13:16:01.337688+01:00,Node_383,0.014433,0.010311,-0.911649,26.379154
2015-03-26T13:16:01.345500+01:00,Node_383,0.010309,0.018558,-0.919682,26.379154
2015-03-26T13:16:01.353313+01:00,Node_383,0.018557,0.006187,-0.923698,26.379154
2015-03-26T13:16:01.361125+01:00,Node_383,0.018557,0.010311,-0.919682,26.379154
2015-03-26T13:16:01.368938+01:00,Node_383,0.018557,-0.002060,-0.923698,26.379154
2015-03-26T13:16:01.376750+01:00,Node_383,0.014433,0.010311,-0.923698,26.379154
2015-03-26T13:16:01.384563+01:00,Node_383,0.010309,0.010311,-0.919682,26.379154
2015-03-26T13:16:01.392375+01:00,Node_383,0.014433,0.006187,-0.919682,26.379154
2015-03-26T13:16:01.400188+01:00,Node_383,0.022680,-0.006184,-0.923698,26.379154
2015-03-26T13:16:01.408000+01:00,Node_383,0.014433,0.014435,-0.923698,26.379154
2015-03-26T13:16:01.415813+01:00,Node_383,0.018557,0.002063,-0.927714,26.379154
2015-03-26T13:16:01.423625+01:00,Node_383,0.010309,0.010311,-0.919682,26.379154
2015-03-26T13:16:01.431438+01:00,Node_383,0.018557,0.006187,-0.919682,26.379154
2015-03-26T13:16:01.439250+01:00,Node_383,0.022680,0.006187,-0.919682,26.379154
2015-03-26T13:16:01.447063+01:00,Node_383,0.022680,0.002063,-0.919682,26.379154
2015-03-26T13:16:01.454875+01:00,Node_383,0.006185,0.018558,-0.919682,26.379154
2015-03-26T13:16:01.462688+01:00,Node_383,0.014433,0.014435,-0.923698,26.379154
2015-03-26T13:16:01.470500+01:00,Node_383,0.022680,0.010311,-0.919682,26.379154
2015-03-26T13:16:01.478313+01:00,Node_383,0.022680,0.006187,-0.919682,26.379154
2015-03-26T13:16:01.486125+01:00,Node_383,0.006185,0.002063,-0.919682,26.379154
2015-03-26T13:16:01.493938+01:00,Node_383,0.022680,0.006187,-0.931730,26.379154
2015-03-26T13:16:01.501750+01:00,Node_383,0.006185,0.010311,-0.923698,26.379154
2015-03-26T13:16:01.509563+01:00,Node_383,0.010309,0.006187,-0.923698,26.379154
2015-03-26T13:16:01.517375+01:00,Node_383,0.010309,0.018558,-0.923698,26.379154
